Gene,full_score,text_score,gene_score,opentargets_score,full_score_percentile_candidate,opentargets_score_percentile_candidate,full_score_percentile_genome,text_score_percentile_genome,omics_score_percentile_genome,delta_full_minus_text,delta_full_minus_omics,rank_in_full_TADE_candidate,rank_in_text_only_candidate,rank_in_omics_only_candidate,rank_in_full_TADE_genome,rank_in_text_only_genome,rank_in_omics_only_genome,modality_class,classification_reason
AGL,0.9790254,0.8241883,0.42206705,0.0056976894263891,0.9225352112676056,0.16143497757847533,0.9989545713742635,0.9990496103402395,0.9811822847367421,0.15483710000000006,0.55695835,23,18,66,23,21,397,both-supported,text_score >= candidate top25 cutoff (0.6992); delta_full_minus_text >= 0.10; omics_score is above genome-wide top25 cutoff
CD109,0.9813136,0.014597173,0.64062744,0.0022174791281082,0.9964788732394366,0.06053811659192825,0.999952480517012,0.0670499904961034,0.9928245580688082,0.966716427,0.34068615999999996,2,278,35,2,19634,152,omics-driven,text_score below candidate top25 cutoff; delta_full_minus_text is high (0.9667); omics_score exceeds both genome-wide top25 and quadrant median cutoffs
CNTN6,0.98085415,0.015047668,0.6969485,0.042051090246677,0.9894366197183099,0.3991031390134529,0.999857441551036,0.1503516441741114,0.9971488310207185,0.965806482,0.28390565,4,268,13,4,17881,61,omics-driven,text_score below candidate top25 cutoff; delta_full_minus_text is high (0.9658); omics_score exceeds both genome-wide top25 and quadrant median cutoffs
ESRRG,0.9758411,0.018981788,0.67719793,0.0153072435692304,0.8661971830985915,0.25112107623318386,0.998194259646455,0.7455806880821136,0.9956757270480897,0.956859312,0.29864317000000007,39,210,17,39,5355,92,omics-driven,text_score below candidate top25 cutoff; delta_full_minus_text is high (0.9569); omics_score exceeds both genome-wide top25 and quadrant median cutoffs
SLC7A2,0.97918004,0.023529937,0.44267836,0.0077611769483787,0.9366197183098591,0.18834080717488788,0.9991446493062155,0.8498384337578407,0.9819901159475385,0.955650103,0.53650168,19,190,62,19,3161,380,uncertain/mixed,"high full score and low Open Targets score, but modality signals do not meet the prespecified omics-driven, semantic-driven, or both-supported thresholds"
PSPH,0.97986126,0.03250864,0.2258812,0.0344043939947403,0.9577464788732394,0.3542600896860987,0.9994297662041437,0.9101881771526326,0.9726287777988976,0.94735262,0.75398006,13,182,92,13,1891,577,uncertain/mixed,"high full score and low Open Targets score, but modality signals do not meet the prespecified omics-driven, semantic-driven, or both-supported thresholds"
