modality_class,n,fraction,mean_full_score,median_full_score,mean_opentargets_score,median_opentargets_score,mean_delta_full_minus_text,median_delta_full_minus_text,mean_text_score,mean_omics_score
omics-driven,3,0.5,0.9793362833333333,0.98085415,0.019858604314671863,0.0153072435692304,0.963127407,0.965806482,0.016208876333333334,0.67159129
semantic-driven,0,0.0,,,,,,,,
both-supported,1,0.16666666666666666,0.9790254,0.9790254,0.0056976894263891,0.0056976894263891,0.15483710000000006,0.15483710000000006,0.8241883,0.42206705
uncertain/mixed,2,0.3333333333333333,0.97952065,0.97952065,0.0210827854715595,0.0210827854715595,0.9515013615,0.9515013615,0.0280192885,0.33427978
total_highTADE_lowOT,6,1.0,0.9793459250000001,0.97952065,0.017906512218920617,0.01153421025880455,0.8245370073333333,0.9562547075,0.15480891766666666,0.5175667466666666
