Gene,full_score,text_score,gene_score,opentargets_score,full_score_percentile_candidate,opentargets_score_percentile_candidate,full_score_percentile_genome,text_score_percentile_genome,omics_score_percentile_genome,delta_full_minus_text,delta_full_minus_omics,rank_in_full_TADE_candidate,rank_in_text_only_candidate,rank_in_omics_only_candidate,rank_in_full_TADE_genome,rank_in_text_only_genome,rank_in_omics_only_genome,modality_class,classification_reason
CD109,0.9813136,0.014597173,0.64062744,0.0022174791281082,0.9964788732394366,0.06053811659192825,0.999952480517012,0.0670499904961034,0.9928245580688082,0.966716427,0.34068615999999996,2,278,35,2,19634,152,omics-driven,text_score below candidate top25 cutoff; delta_full_minus_text is high (0.9667); omics_score exceeds both genome-wide top25 and quadrant median cutoffs
CNTN6,0.98085415,0.015047668,0.6969485,0.042051090246677,0.9894366197183099,0.3991031390134529,0.999857441551036,0.1503516441741114,0.9971488310207185,0.965806482,0.28390565,4,268,13,4,17881,61,omics-driven,text_score below candidate top25 cutoff; delta_full_minus_text is high (0.9658); omics_score exceeds both genome-wide top25 and quadrant median cutoffs
ESRRG,0.9758411,0.018981788,0.67719793,0.0153072435692304,0.8661971830985915,0.25112107623318386,0.998194259646455,0.7455806880821136,0.9956757270480897,0.956859312,0.29864317000000007,39,210,17,39,5355,92,omics-driven,text_score below candidate top25 cutoff; delta_full_minus_text is high (0.9569); omics_score exceeds both genome-wide top25 and quadrant median cutoffs
