experiment_id,feature_set,model,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,top10_precision_mean,top10_lift_mean,folds,AUPRC_delta_vs_best_literature_model,AUPRC_ratio_vs_best_literature_model
major4_fast_text_only_logreg_l2_C1,text_only,logreg_l2_C1,0.8571604938271605,0.05558229809028054,0.5315469792307035,0.15242746892439085,0.4666666666666666,5.1466666666666665,5,0.2709891058423216,2.0400342247128767
major4_fast_text_only_logreg_l1_C1,text_only,logreg_l1_C1,0.9066666666666666,0.061343553451594104,0.5312621882761202,0.09938442868406469,0.5333333333333333,5.873333333333333,5,0.2707043148877383,2.0389412201113277
major4_fast_text_only_logreg_l2_C3,text_only,logreg_l2_C3,0.8543209876543211,0.05103710273727007,0.5217793040293041,0.1436577614086674,0.4,4.42,5,0.2612214306409222,2.002546678954319
major4_fast_text_only_logreg_l2_C0.3,text_only,logreg_l2_C0.3,0.8545679012345679,0.05789583801748615,0.5192074390938488,0.1667726291561461,0.5,5.4799999999999995,5,0.25864956570546693,1.992676069780204
major4_fast_full_plus_literature_covariates_logreg_l2_C1,full_plus_literature_covariates,logreg_l2_C1,0.8066666666666666,0.15405310082006002,0.5168269826881066,0.13127313825640152,0.4666666666666666,5.266666666666667,5,0.2562691092997247,1.9835400710295772
major4_fast_text_only_logreg_l2_robust_C1,text_only,logreg_l2_robust_C1,0.8566666666666667,0.05474790154581426,0.5163152202016299,0.17326270870643654,0.4666666666666666,5.1466666666666665,5,0.255757346813248,1.9815759680845326
major4_fast_text_only_logreg_l1_C0.3,text_only,logreg_l1_C0.3,0.8998765432098764,0.04880136197849042,0.5119576244614195,0.15505680657459575,0.5333333333333333,5.933333333333333,5,0.2513997510730376,1.9648518688142138
major4_fast_full_plus_literature_covariates_logreg_l2_C0.03,full_plus_literature_covariates,logreg_l2_C0.03,0.8067901234567902,0.14773734195179178,0.5118233295491165,0.13117321451675767,0.4666666666666666,5.266666666666667,5,0.2512654561607346,1.9643364558253198
major4_fast_full_omics_text_logreg_l2_C0.3,full_omics_text,logreg_l2_C0.3,0.8114814814814814,0.1491143901724462,0.5117103061565363,0.11638059634064427,0.4666666666666666,5.266666666666667,5,0.25115243276815447,1.9639026812050777
major4_fast_full_plus_literature_covariates_logreg_l2_C0.1,full_plus_literature_covariates,logreg_l2_C0.1,0.811358024691358,0.1440466189842249,0.5100512775627252,0.11444579550772598,0.4666666666666666,5.266666666666667,5,0.2494934041743433,1.9575354639253364
major4_fast_text_only_logreg_l2_C0.03,text_only,logreg_l2_C0.03,0.8507407407407408,0.053793029160687546,0.5099456775108948,0.16970692936816753,0.5,5.54,5,0.24938780412251293,1.9571301794852345
major4_fast_text_only_logreg_l2_C0.1,text_only,logreg_l2_C0.1,0.8509876543209878,0.05475346917622002,0.5091904296420425,0.16410414751691269,0.4666666666666666,5.1466666666666665,5,0.24863255625366065,1.9542315993769814
major4_fast_full_omics_text_logreg_l2_C0.1,full_omics_text,logreg_l2_C0.1,0.8123456790123458,0.1484205314926876,0.5091415785660697,0.13033589488508318,0.4666666666666666,5.266666666666667,5,0.2485837051776878,1.954044112906749
major4_fast_text_only_logreg_l2_C10,text_only,logreg_l2_C10,0.8524691358024692,0.05219974416275342,0.5082133332090637,0.12777780387562815,0.4333333333333333,4.753333333333333,5,0.24765545982068182,1.9504815824603081
major4_fast_full_omics_text_logreg_l2_C1,full_omics_text,logreg_l2_C1,0.8101234567901235,0.15374745274549356,0.5060777318112695,0.11037450206474295,0.4666666666666666,5.266666666666667,5,0.2455198584228876,1.9422853173848293
major4_fast_full_omics_text_logreg_l1_C0.3,full_omics_text,logreg_l1_C0.3,0.8944444444444445,0.05803125783700889,0.5053451532128003,0.15904644632316184,0.4666666666666666,5.206666666666666,5,0.2447872798244184,1.9394737400989752
major4_fast_full_plus_literature_covariates_logreg_l1_C0.3,full_plus_literature_covariates,logreg_l1_C0.3,0.8944444444444445,0.05803125783700889,0.5053451532128003,0.15904644632316184,0.4666666666666666,5.206666666666666,5,0.2447872798244184,1.9394737400989752
major4_fast_full_omics_text_logreg_l2_C0.03,full_omics_text,logreg_l2_C0.03,0.8103703703703703,0.15009167548583363,0.5034145659007893,0.1228068526445484,0.4666666666666666,5.266666666666667,5,0.24285669251240738,1.9320643024684596
major4_fast_full_plus_literature_covariates_logreg_l2_C0.3,full_plus_literature_covariates,logreg_l2_C0.3,0.8076543209876543,0.14500366581620333,0.5028351603466079,0.10970055877265311,0.4666666666666666,5.266666666666667,5,0.24227728695822603,1.929840590911996
major4_fast_full_omics_text_extra_trees_fast,full_omics_text,extra_trees_fast,0.812962962962963,0.0800567547499925,0.49879679020950424,0.04565170513066258,0.5,5.54,5,0.23823891682112236,1.9143416536333508
major4_fast_text_only_logreg_l1_C0.1,text_only,logreg_l1_C0.1,0.8713580246913579,0.05396664733461714,0.49412916469495416,0.17556929440332045,0.4,4.4799999999999995,5,0.23357129130657228,1.8964276852168502
major4_fast_full_plus_literature_covariates_extra_trees_fast,full_plus_literature_covariates,extra_trees_fast,0.8108641975308641,0.07785318703753001,0.4939523149403285,0.11710683828787198,0.5,5.54,5,0.2333944415519466,1.895748950192167
major4_fast_full_plus_literature_covariates_logreg_l2_robust_C1,full_plus_literature_covariates,logreg_l2_robust_C1,0.8237037037037037,0.1504537667338434,0.4904372693190712,0.13716415574905885,0.5,5.54,5,0.22987939593068935,1.8822584899901917
major4_fast_full_omics_text_logreg_l2_robust_C1,full_omics_text,logreg_l2_robust_C1,0.822469135802469,0.1501267056178674,0.48913007977658757,0.1376476534186786,0.5,5.54,5,0.2285722063882057,1.8772416024730942
major4_fast_full_omics_text_logreg_l2_C3,full_omics_text,logreg_l2_C3,0.8060493827160494,0.1557577561008808,0.47423515039912284,0.17934249782300718,0.4333333333333333,4.873333333333333,5,0.21367727701074096,1.820076070747777
major4_fast_full_plus_literature_covariates_logreg_l2_C3,full_plus_literature_covariates,logreg_l2_C3,0.7979012345679013,0.16114752911325703,0.4632623457168177,0.190296280847835,0.4333333333333333,4.873333333333333,5,0.2027044723284358,1.777963335716549
major4_fast_full_omics_text_logreg_l1_C1,full_omics_text,logreg_l1_C1,0.8806172839506173,0.07104613801302694,0.4509415298310647,0.1163953993920546,0.4333333333333333,4.8133333333333335,5,0.19038365644268285,1.730677042942015
major4_fast_full_plus_literature_covariates_logreg_l1_C0.1,full_plus_literature_covariates,logreg_l1_C0.1,0.8585185185185186,0.05819419685919876,0.45028060751610355,0.21520280517808257,0.4,4.42,5,0.18972273412772167,1.7281404766645647
major4_fast_full_omics_text_logreg_l1_C0.1,full_omics_text,logreg_l1_C0.1,0.8585185185185186,0.05819419685919876,0.45028060751610355,0.21520280517808257,0.4,4.42,5,0.18972273412772167,1.7281404766645647
major4_fast_full_plus_literature_covariates_logreg_l1_C1,full_plus_literature_covariates,logreg_l1_C1,0.8806172839506173,0.06943497877875673,0.44514314273429056,0.10549370573436206,0.4333333333333333,4.8133333333333335,5,0.1845852693459087,1.7084233032205092
major4_fast_full_plus_literature_covariates_logreg_l2_C10,full_plus_literature_covariates,logreg_l2_C10,0.7919753086419753,0.14379801538008766,0.4425635263217053,0.214154609662344,0.4333333333333333,4.8133333333333335,5,0.18200565293332344,1.698522944505422
major4_fast_full_omics_text_logreg_l2_C10,full_omics_text,logreg_l2_C10,0.8009876543209877,0.14405257067621902,0.41905056069740443,0.16840373285091179,0.4333333333333333,4.8133333333333335,5,0.15849268730902255,1.60828208815159
major4_fast_text_only_extra_trees_fast,text_only,extra_trees_fast,0.7845679012345679,0.08612051366870617,0.418447901576832,0.13804708563744364,0.4,4.42,5,0.1578900281884501,1.6059691312920055
major4_fast_full_omics_text_logreg_l1_C0.03,full_omics_text,logreg_l1_C0.03,0.7597530864197531,0.14653078046449153,0.38246229328717235,0.18515817138576765,0.3333333333333333,3.693333333333333,5,0.12190441989879047,1.4678592832889852
major4_fast_full_plus_literature_covariates_logreg_l1_C0.03,full_plus_literature_covariates,logreg_l1_C0.03,0.7597530864197531,0.14653078046449153,0.38246229328717235,0.18515817138576765,0.3333333333333333,3.693333333333333,5,0.12190441989879047,1.4678592832889852
major4_fast_text_only_logreg_l1_C0.03,text_only,logreg_l1_C0.03,0.7597530864197531,0.14653078046449153,0.38246229328717235,0.18515817138576765,0.3333333333333333,3.693333333333333,5,0.12190441989879047,1.4678592832889852
major4_fast_text_only_gb_depth1_lr003,text_only,gb_depth1_lr003,0.6730864197530864,0.19217002153629367,0.29243679347820334,0.12348447961639007,0.16666666666666666,1.8466666666666665,5,0.03187892008982146,1.1223487115367397
major4_fast_full_plus_literature_covariates_gb_depth1_lr003,full_plus_literature_covariates,gb_depth1_lr003,0.6573456790123456,0.19842851592839852,0.2884945977306601,0.1381982196832032,0.2,2.2399999999999998,5,0.02793672434227823,1.107218883770349
major4_fast_full_omics_text_gb_depth1_lr003,full_omics_text,gb_depth1_lr003,0.6634567901234567,0.18662271267083558,0.28806346609194106,0.12125461089159971,0.16666666666666666,1.8466666666666665,5,0.02750559270355918,1.1055642354839148
major4_fast_full_plus_literature_covariates_gb_depth2_lr003,full_plus_literature_covariates,gb_depth2_lr003,0.6559876543209876,0.18477985476348235,0.27425505124719773,0.1518931403394045,0.2333333333333333,2.6333333333333333,5,0.013697177858815857,1.0525686584738092
major4_fast_full_omics_text_gb_depth2_lr003,full_omics_text,gb_depth2_lr003,0.6687037037037037,0.18635326056419857,0.26770647996707747,0.15752185813230735,0.2,2.2399999999999998,5,0.007148606578695593,1.027435772658614
major4_fast_text_only_gb_depth2_lr003,text_only,gb_depth2_lr003,0.6667283950617284,0.1791142749399759,0.2633119233317821,0.154837083287698,0.2,2.2399999999999998,5,0.0027540499434002275,1.0105698204686184
major4_fast_literature_density_only_gb_depth1_lr003,literature_density_only,gb_depth1_lr003,0.6187654320987654,0.13323799174690865,0.2605578733883819,0.14006283826116422,0.19999999999999998,2.3,5,0.0,1.0
major4_fast_literature_density_only_gb_depth2_lr003,literature_density_only,gb_depth2_lr003,0.5228395061728395,0.13125596494672312,0.24537579495423184,0.12604504463524907,0.19999999999999998,2.3,5,-0.015182078434150037,0.9417324134683892
major4_fast_literature_density_only_logreg_l2_robust_C1,literature_density_only,logreg_l2_robust_C1,0.6334567901234568,0.18426954703790324,0.23547073676502112,0.13472160225470545,0.19999999999999998,2.1799999999999997,5,-0.025087136623360762,0.9037176029374233
major4_fast_literature_density_only_logreg_l2_C0.3,literature_density_only,logreg_l2_C0.3,0.6412345679012346,0.18492234433385207,0.23454950863085675,0.1304251967331162,0.16666666666666666,1.8466666666666665,5,-0.026008364757525132,0.9001820040235068
major4_fast_literature_density_only_logreg_l2_C0.1,literature_density_only,logreg_l2_C0.1,0.6418518518518519,0.18023338356119314,0.23055880704223775,0.12641794661204298,0.16666666666666666,1.8466666666666665,5,-0.029999066346144132,0.8848660147704377
major4_fast_literature_density_only_logreg_l1_C1,literature_density_only,logreg_l1_C1,0.6323456790123456,0.1988155561368061,0.2283034673731268,0.12958477541023833,0.16666666666666666,1.8466666666666665,5,-0.03225440601525509,0.8762102039143628
major4_fast_literature_density_only_logreg_l2_C1,literature_density_only,logreg_l2_C1,0.6280246913580247,0.19128413547569023,0.22703926189274365,0.12477085631870734,0.16666666666666666,1.8466666666666665,5,-0.03351861149563823,0.8713582857437736
major4_fast_literature_density_only_logreg_l2_C3,literature_density_only,logreg_l2_C3,0.61,0.1943632987647656,0.22396143646686512,0.13189177651350353,0.16666666666666666,1.8466666666666665,5,-0.03659643692151676,0.8595458412152186
major4_fast_literature_density_only_extra_trees_fast,literature_density_only,extra_trees_fast,0.567037037037037,0.1248483304819999,0.2194960735664048,0.08710877602091507,0.2,2.2399999999999998,5,-0.04106179982197708,0.8424081403183267
major4_fast_literature_density_only_logreg_l2_C0.03,literature_density_only,logreg_l2_C0.03,0.6128395061728396,0.17770403134334767,0.21448284184079927,0.10787203230572284,0.16666666666666666,1.7866666666666666,5,-0.04607503154758261,0.8231677632749782
major4_fast_literature_density_only_logreg_l1_C0.3,literature_density_only,logreg_l1_C0.3,0.6528395061728395,0.1645971189089193,0.21083722596756208,0.09755374733840365,0.13333333333333333,1.4533333333333331,5,-0.0497206474208198,0.8091761850285473
major4_fast_literature_density_only_logreg_l2_C10,literature_density_only,logreg_l2_C10,0.5904938271604938,0.19518260827122694,0.208955734526843,0.12474898753967993,0.13333333333333333,1.4533333333333331,5,-0.05160213886153889,0.801955173372858
major4_fast_literature_density_only_logreg_l1_C0.1,literature_density_only,logreg_l1_C0.1,0.616172839506173,0.17345096866466841,0.1652109382885732,0.06611671434179603,0.1,1.06,5,-0.09534693509980868,0.6340661909007577
major4_fast_literature_density_only_logreg_l1_C0.03,literature_density_only,logreg_l1_C0.03,0.5892592592592593,0.10725883722036883,0.1337350220401068,0.05528236238628582,0.1,1.06,5,-0.1268228513482751,0.513264175443911
